,Messages,Classe,Similarity
1311,Sou do Jardim Primavera Interlagos,9.0,0.8119777160266892
1320,Hatila Nogueira Lima,9.0,0.9144545964453165
1321,Ok,4.0,0.9999925679915664
1322,110213,13.0,0.8761855712882278
1326,Blz,10.0,0.8409440701686757
1328,Sim,5.0,0.9880873048952942
1335,Eu já fui na loja e já solicitei o chip pq não  recebi… quero saber se consigo Reenbolso desses chips,17.0,0.8336472386502722
1339,"Diego de Jesus santos 
Cpf 049.078.101-21
Rg 3.56.897
10/10/1992
72910-000
Quadra 39 lote 30 Jardim barragem 4
Anarodrigues1992santos@gmail.com 
(61)99138-5617 diego
(61)99598-1971 Douglas 
(61)99401-2916 Ana paula 
Vencimento pros dias 27",8.0,0.8192113107028542
1341,Obrigado,7.0,0.9859162697976918
1346,Obrigada,2.0,0.9627894558350756
1347,38150743200,13.0,0.8760945597121541
1348,Legal!,16.0,0.8525197580764255
1352,Opa!,16.0,0.8176088337540426
1354,Ok,4.0,0.9999925679915664
1355,Ok,4.0,0.9999925679915664
1366,6 407,13.0,0.9094300399757371
1367,Oi,3.0,0.9999177003965305
1369,Ok,4.0,0.9999925679915664
1374,Ok,4.0,0.9999925679915664
1376,2,13.0,0.9228572756673731
1384,Bartolomeu Barreto Cavalcanti Filho,9.0,0.8706066582491492
1388,76552381204,13.0,0.8402282034089973
1406,1233,13.0,0.8246760402450433
1415,Vou tentar,0.0,0.8087031727379744
1418,Boa tarde,12.0,0.9081050786729821
1427,Ok,4.0,0.9999925679915664
1438,Blz,10.0,0.8409440701686757
1440,Sim,5.0,0.9880873048952942
1445,Minha internet esta sem sinal meu roteador esta com uma luz vermelha acesa vocês estao com problema na rede ?,1.0,0.8061539958295257
1450,Oi,3.0,0.9999177003965305
1461,?,6.0,0.9903489639542571
1463,2,13.0,0.9228572756673731
1464,4,13.0,0.8569259173317467
1466,Sim,5.0,0.9880873048952942
1476,..,6.0,0.892755190641208
1496,2,13.0,0.9228572756673731
1504,2,13.0,0.9228572756673731
1507,"Valor? 
Paga aí mesmo?",16.0,0.8771073425475664
1510,Obrigada,2.0,0.9627894558350756
1512,Show Maravilha!!,16.0,0.8407373859030168
1514,Sim vai sim,18.0,0.8117445942006953
1515,Ok,4.0,0.9999925679915664
1525,Sim,5.0,0.9880873048952942
1528,?!,6.0,0.9440464239904909
1529,Oi,3.0,0.9999177003965305
1536,Requisição 4934,9.0,0.8064430328792963
1538,1479,13.0,0.8547873849361556
1541,Boa tarde,12.0,0.9081050786729821
1550,Ok,4.0,0.9999925679915664
1551,Sim,5.0,0.9880873048952942
1552,Sim,5.0,0.9880873048952942
1559,Oi,3.0,0.9999177003965305
1568,Boa tarde,12.0,0.9081050786729821
1574,Ok,4.0,0.9999925679915664
1576,Ok,4.0,0.9999925679915664
1580,Obrigada,2.0,0.9627894558350756
1587,Condomínio Piatã,9.0,0.828273530183484
1588,CPF 33803566894,8.0,0.8034923434857715
1591,939 509 100,13.0,0.8893495403562977
1596,Sim,5.0,0.9880873048952942
1605,"Gostaria de saber como faço pr aimda tomar minha vascina sou gestante e era pr ter sido dia 15 de maio agora, porém eu esqueci o atestado médico na hora. E não conseguir tomar!",17.0,0.8667859175505623
1609,"COMBO BIOFÓRMULA PERFORMANCE * (COMPRA 30 kg Biofórmula Performance + BRINDE de 10 Kg Biofórmula Performance)  1.316,70",9.0,0.8957385885256388
1610,"Rua Eliziário Mendes, 952 casa C. Parque Iracema",9.0,0.9222601838828509
1613,Sim,5.0,0.9880873048952942
1615,"Rua Alberto Eloy Costa, n° 98",9.0,0.8290795238909323
1623,"?,?",6.0,0.8880392445170192
1627,Ok,4.0,0.9999925679915664
1628,"COMBO BIOFÓRMULA LEITE PLUS * (VENDA de 30 kg Biofórmula Leite Plus + BRINDE de 10 Kg Biofórmula Leite Plus) 1.316,70",9.0,0.907958503317047
1629,Grupo Vertical,9.0,0.809400328763725
1643,Obrigada,2.0,0.9627894558350756
1646,Ok,4.0,0.9999925679915664
1649,MEU. INss quando é que vai começar e mês que é que tá pagando agora eu sou de julho aí eu sabendo mês qual o mês que paga aí eu já fico por dentro né eu não sei eu queria saber se eu tinha direito mas vocês mandaram aqui para mim fazer o levantamento mandar 6.000 aqui será tá escrito aqui sem meus será o valor que pode chegar a revisão para solicitar a revisão então você tá no meu INSS,17.0,0.8590954537375786
1657,"COMBO BIOFÓRMULA CORTE MD * (VENDA de 30 kg Biofórmula Corte MD + BRINDE de 10 Kg Biofórmula Corte MD)  1.646,70",9.0,0.9174269806844856
1668,Sim,5.0,0.9880873048952942
1674,Ok,4.0,0.9999925679915664
1679,Ok,4.0,0.9999925679915664
1682,"🎵🎶 Aumente o som e curta essa oferta!! 🎶🎵

Som Automotivo Pioneer MP3 Player AM/FM USB - Auxiliar MVH-98UB

Código: 031491900

Por: R$ 254,90 a vista

Corra e aproveite

Oferta válida até 31/05 ou enquanto durarem os estoques promocionais",9.0,0.8008907619785406
1689,Oi,3.0,0.9999177003965305
1692,16093,13.0,0.8917295470737673
1695,Vou entra lá no link para fazer o desbloqueio,17.0,0.8008829557443267
1699,Ok,4.0,0.9999925679915664
1706,1405-MA,13.0,0.8301346979951735
1707,Que ainda não saiu daí,18.0,0.8081683019631776
1752,Oi,3.0,0.9999177003965305
1764,50526447877,13.0,0.8115527414347247
1765,Sim,5.0,0.9880873048952942
1782,Obrigada,2.0,0.9627894558350756
1793,"Rua José Simone, 65 Jardim Jamaica, Itanhaém. 
Essa rua é uma travessa da Av. Mario Covas próximo ao quiosque caribe.",9.0,0.9024388270527293
1813,Ok,4.0,0.9999925679915664
1814,Simone Rosa do vale Araújo,9.0,0.8488507297783924
1819,Boa tarde Sabrina,12.0,0.9088530553391615
1824,08353407914,13.0,0.835591038774108
1829,Ok,4.0,0.9999925679915664
1830,Vish,10.0,0.816285448237341
1851,Boa tarde,12.0,0.9081050786729821
1858,878677302,13.0,0.9021411834494368
1860,?,6.0,0.9903489639542571
1863,Sim,5.0,0.9880873048952942
1869,"Nome dele é CARLOS PEREIRA NASCIMENTO 
CPF: 19060610334
Data do Nascimento: 13/04/1961",9.0,0.819744525186137
1870,Oie Boa tarde,12.0,0.843013528967935
1872,Boa tarde,12.0,0.9081050786729821
1874,5 503,13.0,0.8632080221546159
1880,Boa tarde,12.0,0.9081050786729821
1886,Cybelle Clemente,9.0,0.8169927115951997
1888,Ok,4.0,0.9999925679915664
1889,"Fiz minha inscrição no curso técnico online de logística, efetuei o pagamento no dia 17 de maio. E estou entrando em contato pra receber o acesso ao portal pra iniciar as aulas.",14.0,0.8116841058757895
1894,Sim,5.0,0.9880873048952942
1910,Ok,4.0,0.9999925679915664
1917,Certo,19.0,0.989127781057761
1920,Ok,4.0,0.9999925679915664
1922,Boa tarde,12.0,0.9081050786729821
1927,3 107,13.0,0.9066625548451872
1935,Pronto. Deu certo!,16.0,0.8477597767326718
1937,Oi,3.0,0.9999177003965305
1941,Boa tarde,12.0,0.9081050786729821
1944,Boa tarde,12.0,0.9081050786729821
1954,Facbook,10.0,0.8920401633833228
1956,"Eu fiz uma encomeda de um cento dw docinhos para o dia 20 de maio, fiz pagamento completo ja com taxa de entrega, So que tive seu suspender, pois meu marido testou positivo p covid,",14.0,0.8133195917299918
1958,Ok,4.0,0.9999925679915664
1963,05270027208,13.0,0.8290301206878107
1966,Oi,3.0,0.9999177003965305
1970,3,13.0,0.9309000111928037
1971,Tem custo de instalação???,16.0,0.80891023083474
1974,??,6.0,0.9738372424132666
1987,Boa tarde,12.0,0.9081050786729821
1995,Ok,4.0,0.9999925679915664
2006,"Maria Cristina da Silva Santos
CPF 231172458-47",9.0,0.8502764597092929
2008,Ok,4.0,0.9999925679915664
2015,4 301,13.0,0.8817542521995575
2020,?,6.0,0.9903489639542571
2021,Não tem como ser hoje ainda estou Aki,18.0,0.8458298000372602
2033,Ok,4.0,0.9999925679915664
2036,"Paciente 
Sóstenes Silveira Saraiva",9.0,0.8884253497600305
2038,"Olá! Tudo bem?
No que posso ajudar? Assim que possível responderei sua mensagem! 😘

ESPAÇO FLOR DE LIS.",16.0,0.8756893251127957
2039,Ok,4.0,0.9999925679915664
2041,2,13.0,0.9228572756673731
2046,Obrigado,7.0,0.9859162697976918
2047,86557114115,13.0,0.8771882913766296
2056,Boa tarde Bianca,12.0,0.8579476811757383
2057,Ta joia.,16.0,0.8371358639504614
2059,Sim,5.0,0.9880873048952942
2060,"Então são 4 segundas do dia 07, 14, 21 e 28 pelo valor de 300 total?",8.0,0.8024026057872962
2061,Ok Obrigada,9.0,0.8102776568569028
2063,Boa tarde,12.0,0.9081050786729821
2064,1,13.0,0.9225807665146257
2067,Boa tarde,12.0,0.9081050786729821
2071,Ok,4.0,0.9999925679915664
2075,Boa tarde,12.0,0.9081050786729821
2081,Ok,4.0,0.9999925679915664
2083,Blz,10.0,0.8409440701686757
2087,Sim,5.0,0.9880873048952942
2097,Ok,4.0,0.9999925679915664
2104,Boa tarde,12.0,0.9081050786729821
2105,????,6.0,0.9330070096650737
2111,Blz,10.0,0.8409440701686757
2122,..,6.0,0.892755190641208
2123,Olá,15.0,0.8845560941342169
2124,Espera uns 15 / 20 minutos,8.0,0.8138352265406
2127,Boa tarde,12.0,0.9081050786729821
2133,Ok,4.0,0.9999925679915664
2136,Obrigada,2.0,0.9627894558350756
2137,Boa tarde,12.0,0.9081050786729821
2138,.,6.0,0.9528993961538452
2139,Ok,4.0,0.9999925679915664
2142,.,6.0,0.9528993961538452
2147,Oi,3.0,0.9999177003965305
2152,Certo,19.0,0.989127781057761
2160,"Brigadeiro
Olho de sogra
Cajuzinho",9.0,0.8010318052285884
2161,2-,13.0,0.8621831172362415
2164,"Avenida Pau Brasil,  494 - casa 5 - Bairro Samambaia Praia Grande po",9.0,0.8488644310261846
2167,2,13.0,0.9228572756673731
2169,Ana Priscilla Nogueira Aguiar,9.0,0.823588932591141
2171,?,6.0,0.9903489639542571
2172,?,6.0,0.9903489639542571
2173,"Boa tarde. Falei com você em 11 de maio sobre abertura de uma nova empresa para começarmos a passar nota por essa nova empresa e deixa a outra livre de notas e imposto até fazer os 12 meses, você ficou de ver aí é me dá um retorno e não retornou.",1.0,0.8395755650682527
2178,Obg!!!,16.0,0.8229636388517061
2179,Boa tarde,12.0,0.9081050786729821
2190,Obrigada,2.0,0.9627894558350756
2192,Ok,4.0,0.9999925679915664
2194,Oi,3.0,0.9999177003965305
2195,Ok,4.0,0.9999925679915664
2199,Boa tarde,12.0,0.9081050786729821
2200,Olá,15.0,0.8845560941342169
2201,Karina Cardoso Ayres Cunha,9.0,0.8903786507695282
2204,??,6.0,0.9738372424132666
2211,Ok,4.0,0.9999925679915664
2216,Obrigada,2.0,0.9627894558350756
2222,Olá,15.0,0.8845560941342169
2227,Boa tarde,12.0,0.9081050786729821
2228,Obrigado,7.0,0.9859162697976918
2232,Então tá bom vou perguntar aqui para o pessoal do contador e entro em contato,14.0,0.8310721774304195
2238,Ok,4.0,0.9999925679915664
2239,5,13.0,0.8520622415298768
2245,Aí o técnico vai embora aí já não tem mais nete,18.0,0.8465352151324559
2252,Tb,10.0,0.8063426375141599
2257,78129168804,13.0,0.8970547618698708
2259,Boa tarde,12.0,0.9081050786729821
2261,Sim,5.0,0.9880873048952942
2263,Sim,5.0,0.9880873048952942
2267,Sim,5.0,0.9880873048952942
2268,Obrigada,2.0,0.9627894558350756
2269,?,6.0,0.9903489639542571
2270,.,6.0,0.9528993961538452
2278,Ok,4.0,0.9999925679915664
2280,783 029 352 04,13.0,0.8759935241254876
2283,Dia 1,8.0,0.8171799329832332
2301,Boa tarde,12.0,0.9081050786729821
2313,Ok,4.0,0.9999925679915664
2320,Certo,19.0,0.989127781057761
2321,"Eder Barbosa  e 
Alice vieira",9.0,0.8957975643875087
2323,06762190200,13.0,0.8863875024098904
2345,Ok,4.0,0.9999925679915664
2346,2,13.0,0.9228572756673731
2347,Ok,4.0,0.9999925679915664
2350,Blz,10.0,0.8409440701686757
2351,Andressa Licar Fernandes Fassina,9.0,0.8933197382898012
2353,Oi,3.0,0.9999177003965305
2354,?,6.0,0.9903489639542571
2357,?,6.0,0.9903489639542571
2361,Boa tarde,12.0,0.9081050786729821
2364,Oi,3.0,0.9999177003965305
2367,Ok,4.0,0.9999925679915664
2368,Obrigado,7.0,0.9859162697976918
2370,88998256025,13.0,0.8423086277550307
2374,Jonathan Juan,9.0,0.853704725151487
2386,"Na verdade vivi momentos muito difíceis,
Meu filho de 19 anos foi diagnosticado c um
Câncer linfático 
E eu ele nos trancamos em casa p tratamento;
Mas agora a vida esta voltando ao normal e eu estou revendo tudo de
Novo 🙏",14.0,0.8112060846885687
2388,"PROCESSADOR INTEL CELERON G3900 2M CACHE 2,80 GHZ LGA 1151 SKYLAKE 6ª GERAÇÃO",9.0,0.815347447658996
2393,Cacau me diz se eu fosse quitar esse contrato da facta hoje qual seria o valor? Pois para  quitar tem desconto.,17.0,0.817657814200967
2395,4 404,13.0,0.8795861590963165
2399,6,13.0,0.8832357775848949
2411,Boa tarde,12.0,0.9081050786729821
2412,Ainda não,18.0,0.8133151831778832
2413,"Carina Gonçalves cordeiro
43984514265",9.0,0.8323810597177583
2415,Boa tarde,12.0,0.9081050786729821
2416,Oi,3.0,0.9999177003965305
2419,?,6.0,0.9903489639542571
2425,Colocar o chip no telefone reiniciar  aparelho,14.0,0.8373917311242827
2426,?,6.0,0.9903489639542571
2432,Oi,3.0,0.9999177003965305
2437,7,13.0,0.8922586349654542
2441,??,6.0,0.9738372424132666
2447,?,6.0,0.9903489639542571
2462,Sim,5.0,0.9880873048952942
2463,Obrigada,2.0,0.9627894558350756
2469,Boa tarde,12.0,0.9081050786729821
2479,Ok,4.0,0.9999925679915664
2485,Sim,5.0,0.9880873048952942
2489,Olá,15.0,0.8845560941342169
2491,6,13.0,0.8832357775848949
2502,Odete Marques Valente,9.0,0.9231413862889568
2514,Marcos Arantes Boa Ventura,9.0,0.8874417628732199
2526,Oi,3.0,0.9999177003965305
2531,Vou tentar acessar,0.0,0.8432471558194947
2534,Ok,4.0,0.9999925679915664
2538,Boa tarde,12.0,0.9081050786729821
2550,"Ok
Brigada",9.0,0.8100525426087279
2554,Ok,4.0,0.9999925679915664
